County1890,County1890up,Black population 1890,Acres 1899,color,mostly black,FIPS code,population 2010,Area sq mi,Acres 1899/Area sq mi,Census Population 1890,City,lat,lon
Lumpkin,LUMPKIN,414,1948,yellow,0,187,30611,286,1.1%,6867,,,
Macon,MACON,9181,7897,red,1,193,14263,357,3.5%,13183,,,
Madison,MADISON,3662,3233,lightgray,0,195,27922,293,1.7%,11024,,,
Marion,MARION,4261,3854,yellow,1,197,8711,376,1.6%,7728,,,
McDuffie,McDUFFIE,5522,4492,pink,1,189,21663,266,2.6%,8789,,,
McIntosh,McINTOSH,5212,13760,lightgray,1,191,13839,453,4.7%,6470,,,
Meriwether,MERIWETHER,11538,5221,yellow,1,199,21273,506,1.6%,20740,,,
Miller,MILLER,1574,9952,green,0,201,5969,284,5.5%,4275,,,
Milton,MILTON,672,317,pink,0,,,146,0.3%,6208,,,
Mitchell,MITCHELL,6106,17692,yellow,1,205,23144,514,5.4%,10906,,,
Monroe,MONROE,12516,12516,brown,1,207,26637,485,4.0%,19137,,,
Montgomery,MONTGOMERY,3658,13836,lightgray,0,209,8913,802,2.7%,9248,,,
Morgan,MORGAN,10997,5764,yellow,1,211,17881,355,2.5%,16041,,,
Murray,MURRAY,484,250,yellow,0,213,39392,343,0.1%,8461,,,
Muscogee,MUSCOGEE,15362,5997,lightgray,1,215,198413,221,4.2%,27761,,,
Newton,NEWTON,7164,4209,red,1,217,101505,276,2.4%,14310,,,
Oconee,OCONEE,3832,2758,green,0,219,33619,186,2.3%,7713,,,
Oglethorpe,OGLETHORPE,11264,9541,blue,1,221,14618,440,3.4%,16951,,,
Paulding,PAULDING,1505,3098,blue,0,223,144800,315,1.5%,11948,,,
Pickens,PICKENS,349,745,green,0,227,29268,233,0.5%,8182,,,
Pierce,PIERCE,1983,6645,red,0,229,18844,540,1.9%,6379,,,
Pike,PIKE,8077,4149,green,0,231,17810,318,2.0%,16300,,,
Polk,POLK,4654,8289,green,0,233,41188,307,4.2%,14945,,,
Pulaski,PULASKI,10001,14071,blue,1,235,11720,468,4.7%,16559,,,
Putnam,PUTNAM,10903,6554,blue,1,237,21198,361,2.8%,14842,,,
Quitman,QUITMAN,3050,2233,lightgray,1,239,2404,161,2.2%,4471,,,
Rabun,RABUN,166,881,lightgray,0,241,16297,377,0.4%,5606,,,
Randolph,RANDOLPH,9473,8041,yellow,1,243,7327,431,2.9%,15267,,,
Richmond,RICHMOND,22818,6207,blue,1,245,202587,329,2.9%,45194,,,
Rockdale,ROCKDALE,2686,2448,pink,0,247,85820,132,2.9%,6813,,,
Schley,SCHLEY,3205,2386,lightgray,1,249,4990,168,2.2%,5443,,,
Screven,SCREVEN,7507,14738,green,1,251,14202,715,3.2%,14424,,,
Spalding,SPALDING,7281,3582,red,1,255,63865,200,2.8%,13117,,,
Stewart,STEWART,11484,13745,blue,1,259,6042,463,4.6%,15682,,,
Sumter,SUMTER,15098,13799,pink,1,261,31554,493,4.4%,22107,,,
Talbot,TALBOT,9239,8948,pink,1,263,6517,385,3.6%,13258,,,
Taliaferro,TALIAFERRO,4827,7425,yellow,1,265,1680,194,6.0%,7291,,,
Tattnall,TATTNALL,3115,15228,brown,0,267,25384,851,2.8%,10253,,,
Taylor,TAYLOR,4068,8955,brown,0,269,8420,379,3.7%,8666,,,
Telfair,TELFAIR,2335,9799,brown,0,271,16349,444,3.4%,5477,,,
Terrell,TERRELL,9169,10452,red,1,273,9045,338,4.8%,14503,,,
