Shape,Part,X,Y,NAME
44,1,82°21′13″ W,33°18′45″ N,RICHMOND
44,1,82°17′39″ W,33°21′17″ N,RICHMOND
44,1,82°15′56″ W,33°22′30″ N,RICHMOND
44,1,82°10′43″ W,33°26′20″ N,RICHMOND
44,1,82°04′14″ W,33°30′58″ N,RICHMOND
44,1,82°01′42″ W,33°32′42″ N,RICHMOND
62,1,81°22′18″ W,32°35′31″ N,EFFINGHAM
62,1,81°22′11″ W,32°35′28″ N,EFFINGHAM
62,1,81°22′01″ W,32°34′37″ N,EFFINGHAM
62,1,81°21′29″ W,32°34′56″ N,EFFINGHAM
62,1,81°21′20″ W,32°34′17″ N,EFFINGHAM
62,1,81°19′44″ W,32°33′40″ N,EFFINGHAM
62,1,81°17′53″ W,32°33′47″ N,EFFINGHAM
62,1,81°17′46″ W,32°33′12″ N,EFFINGHAM
62,1,81°17′29″ W,32°33′45″ N,EFFINGHAM
62,1,81°17′26″ W,32°33′45″ N,EFFINGHAM
62,1,81°17′22″ W,32°33′05″ N,EFFINGHAM
62,1,81°17′19″ W,32°33′04″ N,EFFINGHAM
62,1,81°16′53″ W,32°33′23″ N,EFFINGHAM
62,1,81°16′31″ W,32°32′43″ N,EFFINGHAM
62,1,81°16′48″ W,32°32′11″ N,EFFINGHAM
62,1,81°15′10″ W,32°31′06″ N,EFFINGHAM
62,1,81°13′58″ W,32°30′58″ N,EFFINGHAM
62,1,81°14′01″ W,32°29′55″ N,EFFINGHAM
62,1,81°12′00″ W,32°28′05″ N,EFFINGHAM
62,1,81°11′13″ W,32°27′52″ N,EFFINGHAM
62,1,81°11′13″ W,32°27′51″ N,EFFINGHAM
62,1,81°11′51″ W,32°26′55″ N,EFFINGHAM
62,1,81°12′19″ W,32°27′05″ N,EFFINGHAM
62,1,81°12′22″ W,32°27′02″ N,EFFINGHAM
62,1,81°12′23″ W,32°27′00″ N,EFFINGHAM
62,1,81°11′57″ W,32°26′38″ N,EFFINGHAM
62,1,81°12′31″ W,32°26′13″ N,EFFINGHAM
62,1,81°12′31″ W,32°26′12″ N,EFFINGHAM
62,1,81°12′30″ W,32°26′10″ N,EFFINGHAM
62,1,81°12′18″ W,32°25′26″ N,EFFINGHAM
62,1,81°12′18″ W,32°25′25″ N,EFFINGHAM
62,1,81°12′13″ W,32°25′18″ N,EFFINGHAM
62,1,81°10′39″ W,32°23′32″ N,EFFINGHAM
62,1,81°10′38″ W,32°23′30″ N,EFFINGHAM
62,1,81°10′55″ W,32°22′45″ N,EFFINGHAM
62,1,81°10′05″ W,32°22′08″ N,EFFINGHAM
62,1,81°10′25″ W,32°21′47″ N,EFFINGHAM
62,1,81°10′24″ W,32°21′46″ N,EFFINGHAM
62,1,81°09′18″ W,32°21′00″ N,EFFINGHAM
62,1,81°09′37″ W,32°20′26″ N,EFFINGHAM
62,1,81°09′33″ W,32°20′24″ N,EFFINGHAM
62,1,81°08′39″ W,32°21′04″ N,EFFINGHAM
62,1,81°07′46″ W,32°20′28″ N,EFFINGHAM
62,1,81°07′45″ W,32°20′26″ N,EFFINGHAM
62,1,81°07′44″ W,32°20′24″ N,EFFINGHAM
62,1,81°08′15″ W,32°19′42″ N,EFFINGHAM
62,1,81°07′51″ W,32°19′32″ N,EFFINGHAM
62,1,81°07′50″ W,32°19′29″ N,EFFINGHAM
62,1,81°07′58″ W,32°18′28″ N,EFFINGHAM
62,1,81°07′24″ W,32°18′29″ N,EFFINGHAM
62,1,81°07′20″ W,32°18′19″ N,EFFINGHAM
62,1,81°07′11″ W,32°17′15″ N,EFFINGHAM
62,1,81°07′38″ W,32°16′55″ N,EFFINGHAM
62,1,81°07′23″ W,32°16′32″ N,EFFINGHAM
62,1,81°07′25″ W,32°16′30″ N,EFFINGHAM
62,1,81°08′31″ W,32°16′18″ N,EFFINGHAM
62,1,81°08′14″ W,32°15′56″ N,EFFINGHAM
62,1,81°08′45″ W,32°15′48″ N,EFFINGHAM
62,1,81°08′47″ W,32°15′01″ N,EFFINGHAM
62,1,81°09′23″ W,32°14′41″ N,EFFINGHAM
62,1,81°09′24″ W,32°14′38″ N,EFFINGHAM
62,1,81°08′39″ W,32°13′35″ N,EFFINGHAM
62,1,81°11′44″ W,32°14′15″ N,EFFINGHAM
62,1,81°23′30″ W,32°05′45″ N,EFFINGHAM
62,1,81°23′20″ W,32°06′12″ N,EFFINGHAM
62,1,81°24′09″ W,32°06′26″ N,EFFINGHAM
62,1,81°24′25″ W,32°07′10″ N,EFFINGHAM
62,1,81°24′28″ W,32°07′40″ N,EFFINGHAM
62,1,81°24′06″ W,32°09′00″ N,EFFINGHAM
62,1,81°24′49″ W,32°09′39″ N,EFFINGHAM
62,1,81°24′55″ W,32°11′00″ N,EFFINGHAM
62,1,81°24′35″ W,32°11′08″ N,EFFINGHAM
62,1,81°25′07″ W,32°11′47″ N,EFFINGHAM
62,1,81°24′48″ W,32°12′29″ N,EFFINGHAM
62,1,81°25′48″ W,32°13′02″ N,EFFINGHAM
62,1,81°25′33″ W,32°13′35″ N,EFFINGHAM
62,1,81°25′34″ W,32°13′42″ N,EFFINGHAM
62,1,81°26′09″ W,32°14′29″ N,EFFINGHAM
62,1,81°26′14″ W,32°14′33″ N,EFFINGHAM
62,1,81°25′58″ W,32°14′44″ N,EFFINGHAM
62,1,81°26′08″ W,32°15′36″ N,EFFINGHAM
62,1,81°26′19″ W,32°16′19″ N,EFFINGHAM
62,1,81°26′24″ W,32°16′30″ N,EFFINGHAM
62,1,81°27′02″ W,32°17′01″ N,EFFINGHAM
62,1,81°27′12″ W,32°18′24″ N,EFFINGHAM
62,1,81°27′58″ W,32°18′49″ N,EFFINGHAM
62,1,81°27′58″ W,32°19′43″ N,EFFINGHAM
62,1,81°28′55″ W,32°19′47″ N,EFFINGHAM
62,1,81°29′15″ W,32°20′03″ N,EFFINGHAM
62,1,81°29′27″ W,32°21′04″ N,EFFINGHAM
62,1,81°30′24″ W,32°21′25″ N,EFFINGHAM
62,1,81°30′25″ W,32°21′25″ N,EFFINGHAM
62,1,81°30′31″ W,32°22′14″ N,EFFINGHAM
62,1,81°31′23″ W,32°22′50″ N,EFFINGHAM
62,1,81°31′22″ W,32°23′32″ N,EFFINGHAM
62,1,81°31′24″ W,32°23′34″ N,EFFINGHAM
62,1,81°32′01″ W,32°23′32″ N,EFFINGHAM
