Gender,Group,Widowed,Married,Single
Male,"0-15",0,0,100
Male,"15-20",0,0.5,99.5
Male,"20-25",0.5,31.5,68
Male,"25-30",1,69,30
Male,"30-35",2,78,20
Male,"35-45",6,86,8
Male,"45-55",8,86,6
Male,"55-65",11,85,4
Male,"Over 65",20,76,4
