State,Owners,Tenants
Virginia,2.7,96.3
South Carolina,18,82
Texas,22,78
North Carolina,19,81
Georgia,12,88
Mississippi,13,87
Tennessee,20,80
Louisiana,12,88
Arkansas,21,79
