Name,Last Name,First Name,Graduation date,Rank at graduation,Class,Graduated from,Pilot type,Military hometown of record,State,Aerial Victory Credits,Web Profile
"Crockett, Woodrow W.",Crockett, Woodrow W.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Little Rock,AR,,https://cafriseabove.org/woodrow-wilson-crockett/
"Cross, William, Jr.",Cross," William, Jr.",1-Oct-43,Flight Officer,SE-43-I,TAAF,Single engine,Cleveland,OH,,
"Crunnbsy, Grover",Crunnbsy, Grover,1-Feb-44,Flight Officer,TE-44-K,TAAF,Twin engine,Pensacola,FL,,
"Cummings, Hemdon M.",Cummings, Hemdon M.,11-Mar-45,2nd Lt,TE-45-A,TAAF,Twin engine,Montrose,GA,,
"Cunningham, John O.",Cunningham, John O.,22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,Muncie,IN,,
"Curry, John C.",Curry, John C.,4-Aug-45,2nd Lt,TE-45-E,TAAF,Twin engine,Indianapolis,IN,,
"Curry, Walter P.",Curry, Walter P.,8-Sep-45,2nd Lt,SE-45-F,TAAF,Single engine,Washington,DC,,
"Curtis, John W.",Curtis, John W.,15-Apr-45,2nd Lt,SE-45-B,TAAF,Single engine,Detroit,MI,,
"Curtis, Samuel L.",Curtis, Samuel L.,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Yeadon,PA,,
"Curtis, William J., Jr.",Curtis," William J., Jr.",11-Mar-45,Flight Officer,TE-45-A,TAAF,Twin engine,Pittsburg,PA,,
"Custis, Lemuel R.",Custis, Lemuel R.,6-Mar-42,2nd Lt,SE-42-C,TAAF,Single engine,Hartford,CT,"Downed 1 Fw-190 on January 27, 1944",https://cafriseabove.org/lemuel-custis/
"Dabney, Roscoe J., Jr.",Dabney," Roscoe J., Jr.",8-Sep-45,2nd Lt,TE-45-F,TAAF,Twin engine,Lakewood,NJ,,
"Daniels, Harry J.",Daniels, Harry J.,30-Aug-43,2nd Lt,SE-43-H,TAAF,Single engine,Indianapolis,IN,,
"Daniels, John",Daniels, John,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Chicago,IL,,
"Daniels, Robert H. Jr.",Daniels, Robert H. Jr.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,Corona,NY,,
"Daniels, Thomas J., III",Daniels," Thomas J., III",16-Oct-44,Flight Officer,SE-44-I-1,TAAF,Single engine,Wetumpka,AL,,
"Daniels, Virgil A.",Daniels, Virgil A.,7-Jan-44,Flight Officer,TE-44-A,TAAF,Twin engine,Jacksonville,FL,,
"Darnell, Charles E.",Darnell, Charles E.,12-Mar-44,2nd Lt,TE-44-C,TAAF,Twin engine,Dayton,OH,,
"Dart, Clarence W.",Dart, Clarence W.,3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,Elmira,NY,,https://cafriseabove.org/clarence-w-dart/
"Davenport, Harry J,. Jr.",Davenport," Harry J,. Jr.",23-May-44,2nd Lt,SE-44-E,TAAF,Single engine,Beaumont,TX,,
"Davis, Alfonza W.",Davis, Alfonza W.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Omaha,NE,"Downed a MA-205 on July 16, 1944",https://cafriseabove.org/alfonza-w-davis/
"Davis, Benjamin O., Jr.",Davis," Benjamin O., Jr.",6-Mar-42,Capt,SE-42-C,TAAF,Single engine,Tuskegee,AL,,https://cafriseabove.org/benjamin-o-davis-jr/
"Davis, Claude C.",Davis, Claude C.,4-Aug-44,1st Lt,TE-44-G,TAAF,Twin engine,Pittsburgh,PA,,https://cafriseabove.org/claude-c-davis/
"Davis, Clifford W.",Davis, Clifford W.,8-Sep-45,Flight Officer,TE-45-F,TAAF,Twin engine,Chicago,IL,,
"Davis, Donald F.",Davis, Donald F.,8-Sep-45,2nd Lt,SE-45-F,TAAF,Single engine,Detroit,MI,,
"Davis, Earnest J., Jr.",Davis," Earnest J., Jr.",4-Jun-45,2nd Lt,,"Stewart Field, NY",Single engine,,,,
"Davis, John W.",Davis, John W.,23-May-44,2nd Lt,SE-44-E,TAAF,Single engine,Kansas City,KS,"Downed 1 Me-109 on March 31, 1945",
"Davis, Richard",Davis, Richard,5-Aug-42,2nd Lt,SE-42-G,TAAF,Single engine,Ft. Valley,GA,,
"Davis, Sylvester S.",Davis, Sylvester S.,8-Sep-45,2nd Lt,SE-45-F,TAAF,Single engine,Cleveland,OH,,
"Dean, Vincent C.",Dean, Vincent C.,12-Mar-44,2nd Lt,SE-44-C,TAAF,Single engine,Corona,NY,,
"DeBow, Charles",DeBow, Charles,6-Mar-42,2nd Lt,SE-42-C,TAAF,Single engine,Indianapolis,IN,,https://cafriseabove.org/charles-henry-debow-jr/
"Deiz, Robert W.",Deiz, Robert W.,6-Sep-42,2nd Lt,SE-42-H,TAAF,Single engine,Portland,OR,"Downed 1 Fw-190 on January 27, 1944; Downed a Fw-190 on January 28, 1944",https://cafriseabove.org/robert-w-deiz/
"Derricotte, Eugene Andrew",Derricotte, Eugene Andrew,14-May-46,,TE-46-B,TAAF,Twin engine,Detroit,MI,,
"Desvignes, Russell F.",Desvignes, Russell F.,15-Apr-45,Flight Officer,TE-45-B,TAAF,Twin engine,New Orleans,LA,,
"Dickerson, Charles W.",Dickerson, Charles W.,3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,New Rochelle,NY,,
"Dickerson, Page L.",Dickerson, Page L.,16-Oct-45,Flight Officer,SE-45-G,TAAF,Single engine,St. Louis,MO,,
"Dickerson, Tamenund J., Jr.",Dickerson," Tamenund J., Jr.",20-Nov-44,Flight Officer,SE-44-I,TAAF,Single engine,Detroit,MI,,
"Dickson, DeWitt",Dickson, DeWitt,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,New York,NY,,
"Dickson, Lawrence E.",Dickson, Lawrence E.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Bronx,NY,,https://cafriseabove.org/lawrence-e-dickson/
"Dickson, Othell",Dickson, Othell,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,San Francisco,CA,,https://cafriseabove.org/othell-dickson/
"Diggs, Charles W.",Diggs, Charles W.,8-Feb-44,2nd Lt,TE-44-B,TAAF,Twin engine,Roxbury,MA,,https://cafriseabove.org/charles-c-diggs-jr/
"Dillard, James M., Jr.",Dillard," James M., Jr.",29-Jan-46,2nd Lt,TE-45-I,TAAF,Twin engine,East Beckley,WV,,
"Dillon, Oliver M.",Dillon, Oliver M.,29-Jan-46,2nd Lt,TE-45-I,TAAF,Twin engine,McComb,MS,,
"Dixon, Edward T.",Dixon, Edward T.,4-Aug-44,2nd Lt,TE-44-G,TAAF,Twin engine,Hartford,CT,,
"Doram, Edward D.",Doram, Edward D.,16-Oct-44,2nd Lt,SE-44-I-1,TAAF,Single engine,Cincinnatti,OH,,
"Dorkins, Charles J.",Dorkins, Charles J.,11-Mar-45,2nd Lt,TE-45-A,TAAF,Twin engine,Baltimore,MD,,
"Doswell, Andrew H.",Doswell, Andrew H.,30-Aug-43,2nd Lt,SE-43-H,TAAF,Single engine,Cleveland,OH,,https://cafriseabove.org/andrew-harrison-doswell/
"Doswell, Edgar A., Jr.",Doswell," Edgar A., Jr.",11-Mar-45,Flight Officer,SE-45-A,TAAF,Single engine,Lynchburg,VA,,
"Dowling, Corneilus D.",Dowling, Corneilus D.,16-Oct-44,2nd Lt,SE-44-I-1,TAAF,Single engine,New Rochelle,NY,,
"Downs, Walter M.",Downs, Walter M.,16-Feb-43,2nd Lt,SE-43-B,TAAF,Single engine,New Orleans,LA,,
"Driver, Clarence N.",Driver, Clarence N.,7-Jan-44,Flight Officer,SE-44-A,TAAF,Single engine,Los Angeles,CA,,https://cafriseabove.org/clarence-nesbit-driver/
"Driver, Elwood T.",Driver, Elwood T.,9-Oct-42,2nd Lt,SE-42-I,TAAF,Single engine,Trenton,NJ,"Downed 1 Fw-190 on February 5, 1944",https://cafriseabove.org/elwood-woody-thomas-driver/
"Drummond, Charles H., Jr.",Drummond," Charles H., Jr.",16-Oct-44,2nd Lt,TE-44-I-1,TAAF,Twin engine,Roxbury,MA,,
"Drummond, Edward P.",Drummond, Edward P.,28-Jun-46,2nd Lt,SE-46-C,TAAF,Single engine,Philadelphia,PA,,
"Dryden, Charles W.",Dryden, Charles W.,29-Apr-42,2nd Lt,SE-42-D,TAAF,Single engine,Bronx,NY,,https://cafriseabove.org/charles-w-dryden/
"Dudley, John B.",Dudley, John B.,22-Oct-43,1st Lt,CL-43-2,TAAF,Liaison pilot,Brooklyn,NY,,
"Dudley, Richard G.",Dudley, Richard G.,15-Apr-45,2nd Lt,SE-45-B,TAAF,Single engine,Norristown,PA,,
"Duke, Charles H.",Duke, Charles H.,7-Jan-44,2nd Lt,SE-44-A,TAAF,Single engine,Portland,OR,,
"Duncan, Roger B.",Duncan, Roger B.,4-Aug-45,2nd Lt,SE-45-E,TAAF,Single engine,St. Louis,MO,,
"Dungill, Harry W.",Dungill, Harry W.,30-Sep-43,2nd Lt,CL-43-1,TAAF,Liaison pilot,Chicago,IL,,
"Dunlap, Alwayne M.",Dunlap, Alwayne M.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Washington,DC,,https://cafriseabove.org/alwayne-m-dunlap/
"Dunn, Charles",Dunn, Charles,30-Sep-43,2nd Lt,CL-43-1,TAAF,Liaison pilot,Dallas County,AL,,
"Dunne, Charles A.",Dunne, Charles A.,30-Aug-43,2nd Lt,SE-43-H,TAAF,Single engine,Atlantic City,NJ,,
"Eagleson, Wilson V.",Eagleson, Wilson V.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Bloomington,IL,"Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on February 7, 1944",https://cafriseabove.org/wilson-vash-swampy-eagleson-ii/
"Echols, Julius P.",Echols, Julius P.,16-Oct-45,Flight Officer,TE-45-G,TAAF,Twin engine,Chicago,IL,,
"Edwards, James E., Jr.",Edwards," James E., Jr.",28-Dec-44,Flight Officer,TE-44-J,TAAF,Twin engine,Wenatchee,WA,,
"Edwards, Jerome T.",Edwards, Jerome T.,10-Nov-42,2nd Lt,SE-42-J,TAAF,Single engine,Steubenville,OH,,https://cafriseabove.org/jerome-thompson-edwards/
"Edwards, John E.",Edwards, John E.,4-Aug-44,2nd Lt,SE-44-G,TAAF,Single engine,Steubenville,OH,"Downed 2 Me-109s on April 1, 1945",https://cafriseabove.org/john-ellis-edwards/
"Edwards, William H.",Edwards, William H.,4-Aug-44,Flight Officer,SE-44-G,TAAF,Single engine,Birmingham,AL,,
"Elam, Charles B.",Elam, Charles B.,7-Dec-43,2nd Lt,CL-43-3,TAAF,Liaison pilot,Washington,DC,,
"Elfalan, Jose R.",Elfalan, Jose R.,20-Nov-45,2nd Lt,TE-45-H,TAAF,Twin engine,Prospect,KY,,
"Ellington, Spurgeon N.",Ellington, Spurgeon N.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Winston-Salem,NC,,https://cafriseabove.org/spurgeon-neal-ellington/
"Ellis, Carl F.",Ellis, Carl F.,27-Jun-44,2nd Lt,SE-44-F,TAAF,Single engine,Chicago,IL,,
"Ellis, Everett",Ellis, Everett,29-Jan-46,2nd Lt,TE-45-I,TAAF,Twin engine,Baltimore,MD,,
"Ellis, William B.",Ellis, William B.,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Washington,DC,,
"Elsberry, Joseph D.",Elsberry, Joseph D.,6-Sep-42,2nd Lt,SE-42-H,TAAF,Single engine,Langston,OK,"Downed 3 Fw-190s on July 12, 1944; Downed a Me-109 on July 20, 1944",https://cafriseabove.org/joseph-d-elsberry/
"Eskridge, Chauncey",Eskridge, Chauncey,30-Sep-43,1st Lt,CL-43-1,TAAF,Liaison pilot,Homewood,PA,,
"Esters, Maurice V.",Esters, Maurice V.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Webster City,IA,,https://cafriseabove.org/maurice-v-esters/
"Ewing, James",Ewing, James,27-Jun-44,Flight Officer,TE-44-F,TAAF,Twin engine,Helena,AR,,
"Exum, Herven P.",Exum, Herven P.,16-Oct-44,Flight Officer,TE-44-I-1,TAAF,Twin engine,Wilson,NJ,,
"Farley, Gaines C.",Farley, Gaines C.,22-Oct-43,1st Lt,CL-43-2,TAAF,Liaison pilot,Paducah,KY,,
"Farley, William H.",Farley, William H.,8-Feb-44,2nd Lt,TE-44-B,TAAF,Twin engine,Savannah,GA,,
"Faulkner, William J.",Faulkner, William J.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Nashville,TN,,https://cafriseabove.org/william-john-faulkner-jr/
"Fears, Henry T.",Fears, Henry T.,20-Nov-44,Flight Officer,TE-44-I,TAAF,Twin engine,Muncie,IN,,
"Finley, Clarence C.",Finley, Clarence C.,11-Mar-45,2nd Lt,SE-45-A,TAAF,Single engine,Chicago,IL,,
"Finley, Otis E., Jr.",Finley," Otis E., Jr.",8-Sep-45,Flight Officer,TE-45-F,TAAF,Twin engine,St. Louis,MO,,
"Fischer, James H.",Fischer, James H.,4-Aug-44,Flight Officer,SE-44-G,TAAF,Single engine,Stoughton,MA,"Downed 1 Fw-190 on April 1, 1945",
"Flake, Thomas M.",Flake, Thomas M.,28-Dec-44,Flight Officer,TE-44-J,TAAF,Twin engine,Detroit,MI,,
"Fleming, Rutledge H., Jr.",Fleming," Rutledge H., Jr.",11-Mar-45,Flight Officer,TE-45-A,TAAF,Twin engine,Nashville,TN,,
"Fletcher, Henry F.",Fletcher, Henry F.,3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,San Antonio,TX,,
"Ford, Harry E., Jr.",Ford," Harry E., Jr.",4-Aug-45,Flight Officer,TE-45-E,TAAF,Twin engine,Detroit,MI,,
"Foreman, Samuel J.",Foreman, Samuel J.,23-May-44,Flight Officer,SE-44-E,TAAF,Single engine,Tulsa,OK,,
"Foreman, Walter T.",Foreman, Walter T.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Washington,DC,,
"Francis, William V.",Francis, William V.,27-Jun-45,Flight Officer,SE-45-D,TAAF,Single engine,Philadelphia,PA,,
"Franklin, Earl N.",Franklin, Earl N.,23-May-45,2nd Lt,SE-45-C,TAAF,Single engine,Joliet,IL,,
"Franklin, George E.",Franklin, George E.,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,Joliet,IL,,
"Franklin, John M.",Franklin, John M.,22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,Toledo,OH,,
"Freeman, Eldridge E.",Freeman, Eldridge E.,15-Apr-45,Flight Officer,TE-45-B,TAAF,Twin engine,Chicago,IL,,
"Friend, Robert J.",Friend, Robert J.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,New York,NY,,
"Fullbright, Stewart B., Jr.",Fullbright," Stewart B., Jr.",5-Dec-43,2nd Lt,TE-43-K,TAAF,Twin engine,Springfield,MO,,
"Fuller, William A., Jr.",Fuller," William A., Jr.",4-Aug-45,Flight Officer,SE-45-E,TAAF,Single engine,Detroit,MI,,
"Fuller, Willie",Fuller, Willie,5-Aug-42,2nd Lt,SE-42-G,TAAF,Single engine,Tarboro,NC,,
"Funderburg, Fredrick D.",Funderburg, Fredrick D.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,Monticello,GA,"Downed 2 Me-109s on June 9, 1944",
"Gaines, Thurston L., Jr.",Gaines," Thurston L., Jr.",4-Aug-44,Flight Officer,SE-44-G,TAAF,Single engine,Freeport,NY,,
"Gaiter, Roger B.",Gaiter, Roger B.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,Seaside Heights,NJ,,
"Gallwey, James H.",Gallwey, James H.,23-Mar-46,2nd Lt,SE-46-A,TAAF,Single engine,Owego,NY,,
"Gamble, Howard C.",Gamble, Howard C.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,Charleston,WV,,
"Gant, Morris E.",Gant, Morris E.,8-Sep-44,Flight Officer,SE-44-H,TAAF,Single engine,Chicago,IL,,
"Garrett, Alfred E., Jr.",Garrett," Alfred E., Jr.",16-Oct-45,Flight Officer,SE-45-G,TAAF,Single engine,Fort Worth,TX,,
"Garrison, Robert E., Jr.",Garrison," Robert E., Jr.",4-Aug-44,2nd Lt,SE-44-G,TAAF,Single engine,Columbus,OH,,
"Gash, Joseph E.",Gash, Joseph E.,11-Mar-45,2nd Lt,SE-45-A,TAAF,Single engine,Denver,CO,,
"Gaskins, Aaron C.",Gaskins, Aaron C.,4-Aug-45,2nd Lt,SE-45-E,TAAF,Single engine,Hartford,CT,,
"Gay, Thomas L.",Gay, Thomas L.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,Detroit,MI,,
"Gibson, John A.",Gibson, John A.,9-Oct-42,2nd Lt,SE-42-I,TAAF,Single engine,Chicago,IL,,
"Giles, Ivie V.",Giles, Ivie V.,27-Jun-45,Flight Officer,SE-45-D,TAAF,Single engine,Kansas City,KS,,
"Gilliam, William L.",Gilliam, William L.,15-Apr-45,Flight Officer,SE-45-B,TAAF,Single engine,New York,NY,,
"Givings, Clemenceau M.",Givings, Clemenceau M.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Richmond,VA,,
"Gladden, Thomas",Gladden, Thomas,20-Nov-44,2nd Lt,SE-44-I,TAAF,Single engine,Washington,DC,,
"Glass, Robert M.",Glass, Robert M.,16-Oct-44,Flight Officer,SE-44-I-1,TAAF,Single engine,Pittsburg,PA,,
"Gleed, Edward C.",Gleed, Edward C.,13-Dec-42,2nd Lt,SE-42-K,TAAF,Single engine,Lawrence,KS,"Downed 2 Fw-190s on July 27, 1944",
"Glenn, Joshua",Glenn, Joshua,1-Feb-44,Flight Officer,SE-44-K,TAAF,Single engine,Newark,NJ,,
"Goins, Nathaniel W.",Goins, Nathaniel W.,20-Nov-45,Flight Officer,TE-45-H,TAAF,Twin engine,St. Paul,MN,,
"Golden, Newman C.",Golden, Newman C.,4-Aug-44,Flight Officer,SE-44-G,TAAF,Single engine,Cincinnatti,OH,,
"Goldsborough, Ernest W.",Goldsborough, Ernest W.,7-Dec-43,2nd Lt,CL-43-3,TAAF,Liaison pilot,Glen Mills,PA,,
"Goldsby, Charles S.",Goldsby, Charles S.,11-Mar-45,Flight Officer,TE-45-A,TAAF,Twin engine,Detroit,MI,,
"Gomer, Joseph P.",Gomer, Joseph P.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Iowa Falls,IA,,
"Goodall, Ollie O., Jr.",Goodall," Ollie O., Jr.",1-Feb-44,Flight Officer,TE-44-K,TAAF,Twin engine,Detroit,MI,,
"Goodenough, Purnell J.",Goodenough, Purnell J.,1-Oct-43,2nd Lt,SE-43-I,TAAF,Single engine,Birmingham,AL,,
"Goodwin, Luther A.",Goodwin, Luther A.,8-Sep-44,1st Lt,TE-44-H,TAAF,Twin engine,Bakersfield,CA,,
"Gordon, Elmer A.",Gordon, Elmer A.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Portsmouth,VA,,
"Gordon, Joseph E.",Gordon, Joseph E.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,Brooklyn,NY,,
"Gordon, Robert A.",Gordon, Robert A.,,Flight Officer,,TAAF,Service pilot,Troy,OH,,
"Gordon, William M.",Gordon, William M.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Mobile,AL,,
"Gorham, Alfred M.",Gorham, Alfred M.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,Waukesha,WI,"Downed 2 Fw-190s on July 27, 1944",
"Gould, Cornelius P., Jr.",Gould," Cornelius P., Jr.",8-Feb-44,Flight Officer,SE-44-B,TAAF,Single engine,Pittsburg,PA,,
"Govan, Claude B.",Govan, Claude B.,16-Feb-43,2nd Lt,SE-43-B,TAAF,Single engine,Newark,NJ,"Downed 1 Me-109 on July 27, 1944",
"Grant, Arnold D.",Grant, Arnold D.,30-Sep-43,2nd Lt,CL-43-1,TAAF,Liaison pilot,Coffeyville,KS,,
"Gray, Elliott H.",Gray, Elliott H.,8-Sep-45,Flight Officer,SE-45-F,TAAF,Single engine,Tuskegee Inst.,AL,,
"Gray, George E.",Gray, George E.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Hemphill,WV,,
"Gray, Leo R.",Gray, Leo R.,4-Aug-44,2nd Lt,SE-44-G,TAAF,Single engine,Roxbury,MA,,
"Green, James L.",Green, James L.,16-Oct-44,Flight Officer,TE-44-I-1,TAAF,Twin engine,Philadelphia,PA,,
"Green, Paul L.",Green, Paul L.,4-Aug-44,2nd Lt,SE-44-G,TAAF,Single engine,Xenia,OH,,
"Green, Smith W.",Green, Smith W.,30-Aug-43,2nd Lt,SE-43-H,TAAF,Single engine,Los Angeles,CA,,
"Green, William W., Jr.",Green," William W., Jr.",28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Staunton,VA,"Downed 1 MA-202 on July 16, 1944; Downed 1 He-111 on October 12, 1944",
"Greenlee, George B., Jr.",Greenlee," George B., Jr.",28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Pittsburg,PA,,
"Greenwell, Jacob W.",Greenwell, Jacob W.,23-Mar-46,2nd Lt,SE-46-A,TAAF,Single engine,Fort Worth,TX,,
"Greer, James W.",Greer, James W.,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Detroit,MI,,
"Griffin, Frank",Griffin, Frank,29-Jan-46,Flight Officer,SE-45-I,TAAF,Single engine,Asbury Park,NJ,,
"Griffin, Jerrold D.",Griffin, Jerrold D.,4-Aug-45,2nd Lt,TE-45-E,TAAF,Twin engine,Philadelphia,PA,,
"Griffin, William E.",Griffin, William E.,16-Feb-43,2nd Lt,SE-43-B,TAAF,Single engine,Birmingham,AL,,
"Groves, Weldon K.",Groves, Weldon K.,30-Jun-43,2nd Lt,SE-43-F,TAAF,Single engine,Edwardsville,KS,"Downed 1 Me-109 on July 18, 1944",
"Guilbaud, Eberle J.",Guilbaud, Eberle J.,15-Apr-44,N/A,TE-44-D,TAAF,Twin engine,Port au Prince,HT,,
"Guyton, Eugene L.",Guyton, Eugene L.,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Cleveland,OH,,
"Haley, George",Haley, George,1-Oct-43,2nd Lt,SE-43-I,TAAF,Single engine,Bath,NY,,
"Hall, Charles B.",Hall, Charles B.,3-Jul-42,2nd Lt,SE-42-F,TAAF,Single engine,Brazil,IN,"Downed 1 Fw-190 on July 2, 1943; Downed 1 Fw-190 and 1 Me-109 on January 28, 1944",
"Hall, James L., Jr.",Hall," James L., Jr.",12-Mar-44,2nd Lt,SE-44-C,TAAF,Single engine,Washington,DC,"Downed 1 Me-109 on March 31, 1945",
"Hall, Leander A., Jr.",Hall," Leander A., Jr.",30-Sep-43,2nd Lt,CL-43-1,TAAF,Liaison pilot,Mobile,AL,,
"Hall, Leonard C., Jr.",Hall," Leonard C., Jr.",27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Philadelphia,PA,,
"Hall, Milton T.",Hall, Milton T.,13-Dec-42,2nd Lt,SE-42-K,TAAF,Single engine,Owensboro,KY,,
"Hall, Richard W.",Hall, Richard W.,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Albany,GA,"Downed 1 Me-109 on July 27, 1944",
"Hamilton, John L.",Hamilton, John L.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Greenwood,MS,,
"Hancock, Victor",Hancock, Victor,8-Sep-45,Flight Officer,TE-45-F,TAAF,Twin engine,St. Louis,MO,,
"Hanks, Louis K.",Hanks, Louis K.,22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,Toledo,OH,,
"Harden, Argonne F.",Harden, Argonne F.,11-Mar-45,2nd Lt,TE-45-A,TAAF,Twin engine,Philadelpha,PA,,
"Harder, Richard S.",Harder, Richard S.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,Brooklyn,NY,,
"Hardy, Bennett G.",Hardy, Bennett G.,8-Sep-45,2nd Lt,SE-45-F,TAAF,Single engine,Kokomo,IN,,
"Hardy, Ferdinand Albert",Hardy, Ferdinand Albert,14-May-46,Unk,TE-46-B,TAAF,Twin engine,,,,
"Hardy, George E.",Hardy, George E.,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,Philadelphia,PA,,
"Harmon, Arthur C.",Harmon, Arthur C.,16-Oct-45,2nd Lt,TE-45-G,TAAF,Twin engine,Los Angeles,CA,,
"Harper, Samuel W.",Harper, Samuel W.,7-Jan-44,2nd Lt,TE-44-A,TAAF,Twin engine,Oliver Springs,TN,,
"Harris, Alfonso L.",Harris, Alfonso L.,16-Oct-45,Flight Officer,SE-45-G,TAAF,Single engine,Dallas,TX,,
"Harris, Archie H., Jr.",Harris," Archie H., Jr.",1-Feb-44,2nd Lt,TE-44-K,TAAF,Twin engine,Ocean City,NJ,,
"Harris, Bernard",Harris, Bernard,20-Nov-44,2nd Lt,TE-44-I,TAAF,Twin engine,Detroit,MI,,
"Harris, Cassius",Harris, Cassius,5-Aug-42,2nd Lt,SE-42-G,TAAF,Single engine,Philadelphia,PA,,
"Harris, Edward",Harris, Edward,4-Aug-44,Flight Officer,TE-44-G,TAAF,Twin engine,Pittsburg,PA,,
"Harris, Herbert S.",Harris, Herbert S.,30-Jun-43,2nd Lt,SE-43-F,TAAF,Single engine,Philadelphia,PA,,
"Harris, James E.",Harris, James E.,28-Dec-44,2nd Lt,SE-44-J,TAAF,Single engine,Xenia,OH,,
"Harris, John S.",Harris, John S.,4-Aug-45,2nd Lt,TE-45-E,TAAF,Twin engine,Richmond,KY,,
"Harris, Maceo A., Jr.",Harris," Maceo A., Jr.",1-Oct-43,2nd Lt,SE-43-I,TAAF,Single engine,Boston,MA,,
"Harris, Richard H.",Harris, Richard H.,30-Jun-43,2nd Lt,SE-43-F,TAAF,Single engine,Montgomery,AL,,
"Harris, Stanley L.",Harris, Stanley L.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,St. Paul,MN,,
"Harris, Thomas D., Jr.",Harris," Thomas D., Jr.",8-Sep-45,2nd Lt,SE-45-F,TAAF,Single engine,Brooklyn,NY,,
"Harrison, Alvin E., Jr.",Harrison," Alvin E., Jr.",20-Nov-45,Flight Officer,TE-45-H,TAAF,Twin engine,Chicago,IL,,
"Harrison, James E.",Harrison, James E.,27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Texarkana,TX,,
"Harrison, John L., Jr.",Harrison," John L., Jr.",5-Dec-43,2nd Lt,TE-43-K,TAAF,Twin engine,Omaha,NE,,
"Harrison, Lonnie",Harrison, Lonnie,16-Oct-45,Flight Officer,TE-45-G,TAAF,Twin engine,Huston,LA,,
"Harvey, James H.",Harvey, James H.,16-Oct-44,2nd Lt,SE-44-I-1,TAAF,Single engine,Mountain Top,PA,,https://cafriseabove.org/james-h-harvey-iii/
"Hatchcock, Lloyd S.",Hatchcock, Lloyd S.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,Dayton,OH,,
"Hawkins, Donald A.",Hawkins, Donald A.,20-Nov-44,Flight Officer,TE-44-I,TAAF,Twin engine,San Bernardino,CA,,
"Hawkins, Kenneth R.",Hawkins, Kenneth R.,7-Jan-44,2nd Lt,TE-44-A,TAAF,Twin engine,San Bernardino,CA,,
"Hawkins, Thomas L.",Hawkins, Thomas L.,23-May-44,Flight Officer,SE-44-E,TAAF,Single engine,Glen Rock,NJ,,https://cafriseabove.org/thomas-hawkins/
"Hayes, Lee Archer",Hayes, Lee Archer,29-Jan-46,Flight Officer,TE-45-I,TAAF,Twin engine,East Hampton,NY,,
"Hayes, Reginald W.",Hayes, Reginald W.,12-Mar-44,2nd Lt,TE-44-C,TAAF,Twin engine,Holicong,PA,,
