Count,Source,Destination
7,Calabar,Upper James River
7,Calabar,Santiago de Cuba
7,Calabar,Havana
7,Cacheu,Lisbon
7,Bonny,Suriname
7,Bonny,"Pernambuco, port unspecified"
7,Bonny,Cap Francais
7,Bonny,"British Caribbean, colony unspecified"
7,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",York River
7,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Saint John (Antigua)
7,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Montego Bay
7,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Martinique, port unspecified"
7,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Charleston
7,"Bight of Benin, port unspecified",Saint-Marc
7,"Bight of Benin, port unspecified",Kingston
7,"Bight of Benin, port unspecified",Havana
7,Benin,"Grenada, port unspecified"
7,Benin,Cap Francais
7,Benguela,Para
7,Bassa,"Dominica, port unspecified"
7,Bance Island (Ben's Island),Charleston
7,Badagry/Apa,Suriname
7,Badagry/Apa,Leogane
7,Anomabu,Suriname
7,Anomabu,Havana
7,Anomabu,"Dominica, port unspecified"
7,Ambriz,Cap Francais
7,"Africa., port unspecified","Cuba, west coast"
7,"Africa., port unspecified",Caribbean (colony unspecified)
7,"Africa., port unspecified",Campos
7,"Africa., port unspecified",Annapolis
7,Accra,Cap Francais
6,Windward + Ivory + Gold + Benin,Curacao
6,Windward + Ivory + Gold + Benin,Berbice
6,"Windward Coast, port unspecified",Freetown
6,Windward Coast (Nunez - Assini),"St. Kitts, port unspecified"
6,Windward Coast (Nunez - Assini),"Grenada, port unspecified"
6,Whydah,Petit-Goave
6,Whydah,Havana
6,Whydah,Buenos Aires
6,Whydah,"Americas, port unspecified"
6,"West Central Africa and St. Helena, port unspecified",Upper James River
6,"West Central Africa and St. Helena, port unspecified","Tortola, port unspecified"
6,"West Central Africa and St. Helena, port unspecified","St. Vincent, port unspecified"
6,"West Central Africa and St. Helena, port unspecified","Pernambuco, port unspecified"
6,"West Central Africa and St. Helena, port unspecified",Campos
6,"West Central Africa and St. Helena, port unspecified","Bahamas, port unspecified"
6,"West Central Africa and St. Helena, port unspecified","Americas, region unspecified"
6,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo
6,"Sierra Leone, port unspecified",Rio de la Hacha
6,Sierra Leone estuary,Basse-Terre
6,"Senegambia and offshore Atlantic, port unspecified",Cayenne
6,Saint-Louis,"St. Vincent, port unspecified"
6,Saint-Louis,Montevideo
6,Saint-Louis,"French Caribbean, colony unspecified"
6,Rio Pongo,"Cuba, port unspecified"
6,Rio Nun,Freetown
6,Portuguese Guinea,Veracruz
6,Porto Novo,Leogane
6,New Calabar,"Virginia, port unspecified"
6,New Calabar,"Trinidad, port unspecified"
6,New Calabar,Saint John (Antigua)
6,NA,Curacao
6,Mozambique,Cayes (Les)
6,Malembo,"St. Kitts, port unspecified"
6,Malembo,"Saint-Domingue, port unspecified"
6,Malembo,NA
6,Malembo,Charleston
6,Malembo,"Americas, port unspecified"
6,Madagascar,Buenos Aires
6,Luanda,Santos
6,Kormantine,"Pernambuco, port unspecified"
6,Kilwa,Cap Francais
6,Jacquin,Cap Francais
6,Jacquin,"Barbados, port unspecified"
6,Iles de Los,Suriname
6,Iles de Los,"St. Vincent, port unspecified"
6,Iles de Los,Havana
6,Goree,Savannah
6,"Gold Coast, port unspecified","Trinidad, port unspecified"
6,"Gold Coast, port unspecified",New York
6,"Gold Coast, port unspecified",Freetown
6,"Gold Coast, port unspecified",Essequibo
6,"Gold Coast, port unspecified","Bahia, port unspecified"
6,Gold Coast east of Kormantine,NA
6,Gambia,Lisbon
6,Gallinhas,"Jamaica, port unspecified"
6,Gabon,Suriname
6,Gabon,"St. Kitts, port unspecified"
6,Gabon,"Bahia, port unspecified"
6,Epe,Leogane
6,Elmina,"Americas, port unspecified"
6,Congo River,Sagua
6,Congo River,"Grenada, port unspecified"
6,Cap Lopez,Havana
6,Cape Verde Islands,"Spanish Americas, port unspecified"
6,Cape Verde Islands,Margarita
6,Cape Mount (Cape Grand Mount),Freetown
6,Cape Lahou,Essequibo
6,Cape Coast Castle,Basse-Terre
6,Cameroons River,Rio de Janeiro
6,Cameroons,"Martinique, port unspecified"
6,Cameroons,"Jamaica, port unspecified"
6,Calabar,St. Croix
6,Calabar,Saint-Marc
6,Calabar,"Maryland, port unspecified"
6,Cabinda,"Barbados, port unspecified"
6,Bonny,"Puerto Rico, port unspecified"
6,Boary,Suriname
6,Boary,Curacao
6,Bights,"Barbados, port unspecified"
6,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Pernambuco, port unspecified"
6,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Cayes (Les)
6,"Bight of Benin, port unspecified",Suriname
6,"Bight of Benin, port unspecified","St. Vincent, port unspecified"
6,"Bight of Benin, port unspecified","Barbados, port unspecified"
6,Ardra,"Martinique, port unspecified"
6,Anomabu,Savannah
6,Anomabu,Saint-Marc
6,Ambriz,"Pernambuco, port unspecified"
6,Ambriz,NA
6,Ambriz,Macae
6,"Africa., port unspecified","Spanish Caribbean, unspecified"
6,"Africa., port unspecified",Savanna la Mar
6,"Africa., port unspecified",Patuxent
6,"Africa., port unspecified",Margarita
6,"Africa., port unspecified",La Guaira
6,"Africa., port unspecified",Ilha Grande
6,"Africa., port unspecified",Essequibo
6,"Africa., port unspecified",Caracas
6,"Africa., port unspecified","Americas, region unspecified"
6,Accra,Demerara
5,Windward + Ivory + Gold + Benin,"Jamaica, port unspecified"
5,"Windward Coast, port unspecified",Havana
5,"Windward Coast, port unspecified",Demerara
5,Windward Coast (Nunez - Assini),NA
5,Windward Coast (Nunez - Assini),Charleston
5,"West Central Africa and St. Helena, port unspecified",Sao Sebastiao
5,"West Central Africa and St. Helena, port unspecified",Newcastle (Nevis)
5,"West Central Africa and St. Helena, port unspecified",Jacmel
5,Sierra Leone estuary,Newcastle (Nevis)
5,"Senegambia and offshore Atlantic, port unspecified","Spanish Americas, port unspecified"
5,"Senegambia and offshore Atlantic, port unspecified",Saint John (Antigua)
5,Saint-Louis,"Saint-Domingue, port unspecified"
5,Saint-Louis,Cartagena
5,Portuguese Guinea,"Puerto Rico, port unspecified"
5,Portuguese Guinea,La Guaira
5,Portuguese Guinea,"Hispaniola, unspecified"
5,Porto Novo,Kingston
5,Porto Novo,Freetown
5,Popo,NA
5,New Calabar,Zion Hill
5,New Calabar,"Martinique, port unspecified"
5,Mpinda,"Pernambuco, port unspecified"
5,Mozambique,Maranhao
5,Madagascar,York River
5,Madagascar,"Jamaica, port unspecified"
5,Luanda,"Spanish Americas, port unspecified"
5,Luanda,Copacabana
5,Loango,"Pernambuco, port unspecified"
5,Loango,"Bahia, port unspecified"
5,Iles de Los,Kingston
5,Goree,Montevideo
5,Goree,Leogane
5,Goree,Cayes (Les)
5,Goree,Cayenne
5,"Gold Coast, port unspecified",Zion Hill
5,"Gold Coast, port unspecified",West Indies (colony unspecified)
5,"Gold Coast, port unspecified","Saint-Domingue, port unspecified"
5,"Gold Coast, port unspecified","Montserrat, port unspecified"
5,"Gold Coast, port unspecified","French Caribbean, colony unspecified"
5,"Gold Coast, port unspecified","Dominica, port unspecified"
5,"Gold Coast, port unspecified",Berbice
5,"Gold Coast, port unspecified",Basse-Terre
5,Gambia,"St. Vincent, port unspecified"
5,Gambia,St. Croix
5,Gambia,"South Carolina, port unspecified"
5,Gambia,Port-au-Prince
5,Gallinhas,"Americas, port unspecified"
5,Gabon,Port-au-Prince
5,Gabon,"Jamaica, port unspecified"
5,Elmina,St. Eustatius
5,Congo River,New Orleans
5,Congo North,St. Helena
5,Congo North,NA
5,Congo North,Freetown
5,Christiansborg,St. Thomas
5,Cape Verde Islands,Venezuela
5,Cape Verde Islands,"Cuba, port unspecified"
5,Cape Verde Islands,"Bahia, port unspecified"
5,Cape Mount (Cape Grand Mount),Suriname
5,Cape Mount (Cape Grand Mount),"St. Vincent, port unspecified"
5,Cape Lahou,NA
5,Cape Coast Castle,Zion Hill
5,Cape Coast Castle,West Indies (colony unspecified)
5,Cape Coast Castle,Newcastle (Nevis)
5,Cape Coast Castle,Montego Bay
5,Cape Coast Castle,Cap Francais
5,Calabary,NA
5,Calabar,West Indies (colony unspecified)
5,Bonny,Zion Hill
5,Bonny,"St. Lucia, port unspecified"
5,Bonny,Montevideo
5,Bonny,Cayenne
5,Bonny,"Bahamas, port unspecified"
5,Bights,NA
5,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Upper James River
5,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Tortola, port unspecified"
5,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Havana
5,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Cap Francais
5,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","British Caribbean, colony unspecified"
5,"Bight of Benin, port unspecified","Jamaica, port unspecified"
5,"Bight of Benin, port unspecified","Grenada, port unspecified"
5,Benin,"Bahia, port unspecified"
5,Bassa,"Jamaica, port unspecified"
5,Banana Islands,"Barbados, port unspecified"
5,Badagry/Apa,NA
5,Axim,Suriname
5,Ardra,NA
5,Ardra,"Americas, port unspecified"
5,Apammin,"Martinique, port unspecified"
5,Anomabu,"French Caribbean, colony unspecified"
5,Anomabu,Cayes (Les)
5,Ambriz,Rio de Janeiro province
5,Ambriz,"Grenada, port unspecified"
5,Ambriz,"Dominica, port unspecified"
5,Ambriz,"Cuba, port unspecified"
5,"Africa., port unspecified",Santos
5,"Africa., port unspecified",Rio Sao Jeso
5,"Africa., port unspecified","Rio de la Plata, port unspecified"
5,"Africa., port unspecified",Para
5,"Africa., port unspecified",Guanimar
5,"Africa., port unspecified",Batabano
5,"Africa., port unspecified",Banes
5,Accra,Kingston
4,Windward + Ivory + Gold + Benin,NA
4,Windward + Ivory + Gold + Benin,"Martinique, port unspecified"
4,Windward + Ivory + Gold + Benin,Cap Francais
4,"Windward Coast, port unspecified",West Indies (colony unspecified)
4,"Windward Coast, port unspecified","Tortola, port unspecified"
4,Whydah,St. Thomas
4,Whydah,Demerara
4,Whydah,Charleston
4,"West Central Africa and St. Helena, port unspecified",St. Helena
4,"West Central Africa and St. Helena, port unspecified","Puerto Rico, port unspecified"
4,"West Central Africa and St. Helena, port unspecified",Port-de-Paix
4,"West Central Africa and St. Helena, port unspecified","Hispaniola, unspecified"
4,"Sierra Leone, port unspecified",NA
4,"Sierra Leone, port unspecified",Havana
4,Sierra Leone estuary,Saint-Marc
4,Sherbro,Saint John (Antigua)
4,"Senegambia and offshore Atlantic, port unspecified",Veracruz
4,"Senegambia and offshore Atlantic, port unspecified",Saint-Marc
4,"Senegambia and offshore Atlantic, port unspecified",Maranhao
4,"Senegambia and offshore Atlantic, port unspecified",Charleston
4,Sao Tome,Santiago de Cuba
4,Sao Tome,NA
4,Saint-Louis,"Virginia, port unspecified"
4,Saint-Louis,Patuxent
4,Saint-Louis,Oxford
4,Saint-Louis,Mississippi
4,Saint-Louis,"British Caribbean, colony unspecified"
4,Quilimane,Santos
4,Quilimane,Ilha Grande
4,Popo,"Martinique, port unspecified"
4,Popo,"Cuba, port unspecified"
4,Popo,"Bahia, port unspecified"
4,Nova Redonda,St. Helena
4,New Calabar,Charleston
4,NA,Caracas
4,Mozambique,Cardenas
4,Mozambique,Campos
4,Malembo,Upper James River
4,Malembo,St. Eustatius
4,Malembo,Basse-Terre
4,Luanda,West Indies (colony unspecified)
4,Luanda,"Cuba, port unspecified"
4,Luanda,Colonia de Sacramento
4,Loango,"Saint-Domingue, port unspecified"
4,Little Popo,Leogane
4,"Lagos, Onim","Grenada, port unspecified"
4,Kormantine,NA
4,Iles de Los,Montego Bay
4,Iles de Los,"Barbados, port unspecified"
4,Grand Mesurado,NA
4,Grand Mesurado,"Martinique, port unspecified"
4,Goree,New Orleans
4,Goree,La Balise
4,Goree,Curacao
4,"Gold Coast, port unspecified",St. Croix
4,"Gold Coast, port unspecified","Rhode Island, port unspecified"
4,"Gold Coast, Fr. definition",Zion Hill
4,Gambia,Zion Hill
4,Gambia,West Indies (colony unspecified)
4,Gambia,New York
4,Gambia,Lower James River
4,Gambia,Havana
4,Gambia,Cayenne
4,Gambia,Basse-Terre
4,Gallinhas,Basse-Terre
4,Gabon,"Trinidad, port unspecified"
4,Gabon,"Martinique, port unspecified"
4,Gabon,"Grenada, port unspecified"
4,Gabon,Freetown
4,Gabon,"Dominica, port unspecified"
4,Gabon,"Americas, port unspecified"
4,Epe,Rio de Janeiro
4,Epe,Port-au-Prince
4,Elmina,Paraiba
4,Elmina,Cayes (Les)
4,Congo River,"Trinidad, port unspecified"
4,Congo River,Rio de Janeiro province
4,Congo River,Montevideo
4,Congo River,Liberia
4,Congo River,"Bahamas, port unspecified"
4,Congo North,Demerara
4,Congo North,Berbice
4,Cap Lopez,NA
4,Cape Verde Islands,Rio de Janeiro
4,Cape Verde Islands,Para
4,Cape Mount (Cape Grand Mount),Savannah
4,Cape Mount (Cape Grand Mount),"Martinique, port unspecified"
4,Cape Mount (Cape Grand Mount),Cayes (Les)
4,Cape Lahou,St. Eustatius
4,Cape Lahou,Demerara
4,Cape Lahou,Berbice
4,Cape Coast Castle,Lucea (a) St. Lucea
4,Cape Coast Castle,"British Caribbean, colony unspecified"
4,Cameroons,"Trinidad, port unspecified"
4,Cameroons,Saint John (Antigua)
4,Cameroons,Havana
4,Cameroons,Freetown
4,Calabar,St. Thomas
4,Calabar,St. Eustatius
4,Calabar,Rappahannock
4,Calabar,"Puerto Rico, port unspecified"
4,Calabar,Demerara
4,Calabar,Cayenne
4,Cacheu,"Pernambuco, port unspecified"
4,Cabinda,St. Helena
4,Cabinda,"Cuba, port unspecified"
4,Cabinda,Cabo de Buzios
4,Cabinda,"Americas, port unspecified"
4,Bonny,West Indies (colony unspecified)
4,Bonny,"Virginia, port unspecified"
4,Bonny,Trinidad de Cuba
4,Bissau,Cap Francais
4,Bights,"Bahia, port unspecified"
4,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Trinidad, port unspecified"
4,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Suriname
4,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Cayenne
4,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Bahia, port unspecified"
4,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Americas, port unspecified"
4,"Bight of Benin, port unspecified","Pernambuco, port unspecified"
4,Benin,Maranhao
4,Benin,"British Caribbean, colony unspecified"
4,Benguela,Montevideo
4,Benguela,Cape of Good Hope
4,Bassa,"St. Vincent, port unspecified"
4,Bance Island (Ben's Island),Zion Hill
4,Bance Island (Ben's Island),"Barbados, port unspecified"
4,Banana Islands,NA
4,Banana Islands,"Martinique, port unspecified"
4,Badagry/Apa,Rio de Janeiro
4,Ardra,Portobelo
4,Ardra,"Hispaniola, unspecified"
4,Anomabu,St. Croix
4,Anomabu,Freetown
4,Anomabu,"British Caribbean, colony unspecified"
4,Anomabu,Basse-Terre
4,Ambriz,Sao Sebastiao
4,Ambriz,Freetown
4,"Africa., port unspecified","USA, location unspecified"
4,"Africa., port unspecified",South Potomac
4,"Africa., port unspecified",Sao Sebastiao
4,"Africa., port unspecified",Portobelo
4,"Africa., port unspecified",Petit-Goave
4,"Africa., port unspecified",New Orleans
4,"Africa., port unspecified","Dutch Guianas, colony unspecified"
4,Accra,Leogane
3,"Windward Coast, port unspecified",York River
3,"Windward Coast, port unspecified","Virginia, port unspecified"
3,"Windward Coast, port unspecified",Upper James River
3,"Windward Coast, port unspecified",Rappahannock
3,"Windward Coast, port unspecified",Boston
3,Windward Coast (Nunez - Assini),"Trinidad, port unspecified"
3,Windward Coast (Nunez - Assini),"Tortola, port unspecified"
3,Windward Coast (Nunez - Assini),St. Thomas
3,Whydah,"St. Vincent, port unspecified"
3,Whydah,"St. Kitts, port unspecified"
3,Whydah,Port Royal
3,Whydah,"Grenada, port unspecified"
3,Whydah,"Cuba, west coast"
3,Whydah,Cabanas
3,Whydah,"British Caribbean, colony unspecified"
3,Whydah,Biloxi
3,"West Central Africa and St. Helena, port unspecified",West Indies (colony unspecified)
3,"West Central Africa and St. Helena, port unspecified",St. Maarten
3,"West Central Africa and St. Helena, port unspecified","St. Lucia, port unspecified"
3,"West Central Africa and St. Helena, port unspecified",San Domingo (a) Santo Domingo
3,"West Central Africa and St. Helena, port unspecified","Cuba, port unspecified"
3,"West Central Africa and St. Helena, port unspecified","British Caribbean, colony unspecified"
3,"Southeast Africa and Indian Ocean islands, port unspecified",Cap Francais
3,"Sierra Leone, port unspecified","Hispaniola, unspecified"
3,"Sierra Leone, port unspecified","Americas, port unspecified"
3,Sierra Leone estuary,"Tortola, port unspecified"
3,Sierra Leone estuary,St. Croix
3,Sierra Leone estuary,"Saint-Domingue, port unspecified"
3,Sierra Leone estuary,New York
3,Sierra Leone estuary,"Maryland, port unspecified"
3,Sierra Leone estuary,"French Caribbean, colony unspecified"
3,Sherbro,"St. Kitts, port unspecified"
3,Sherbro,Kingston
3,"Senegambia and offshore Atlantic, port unspecified",San Domingo (a) Santo Domingo
3,"Senegambia and offshore Atlantic, port unspecified","Puerto Rico, port unspecified"
3,"Senegambia and offshore Atlantic, port unspecified",Louisiana
3,"Senegambia and offshore Atlantic, port unspecified",Freetown
3,"Senegambia and offshore Atlantic, port unspecified",Curacao
3,"Senegambia and offshore Atlantic, port unspecified",Cayes (Les)
3,"Senegambia and offshore Atlantic, port unspecified",Buenos Aires
3,"Senegambia and offshore Atlantic, port unspecified","Americas, port unspecified"
3,Sao Tome,San Domingo (a) Santo Domingo
3,Sao Tome,Maranhao
3,Sao Tome,"Americas, port unspecified"
3,Saint-Louis,West Indies (colony unspecified)
3,Saint-Louis,Savannah
3,Saint-Louis,Santiago de Cuba
3,Saint-Louis,Saint-Marc
3,Saint-Louis,Pensacola
3,Saint-Louis,Havana
3,River del Rey,"Barbados, port unspecified"
3,River Brass,Havana
3,Rio Nunez,"Martinique, port unspecified"
3,Quilimane,Cape of Good Hope
3,Quilimane,Cabo Frio
3,Quilimane,Baia de Sepetiba
3,Princes Island,Rio de Janeiro
3,Princes Island,Cartagena
3,Portuguese Guinea,Maranhao
3,Porto Novo,"Jamaica, port unspecified"
3,Porto Novo,Cayes (Les)
3,Popo,"St. Vincent, port unspecified"
3,Popo,"Barbados, port unspecified"
3,New Calabar,Demerara
3,New Calabar,Curacao
3,NA,Suriname
3,NA,"Jamaica, port unspecified"
3,NA,Essequibo
3,NA,"Barbados, port unspecified"
3,NA,"Americas, region unspecified"
3,Mpinda,Suriname
3,Mozambique,Sao Sebastiao
3,Mozambique,Saint-Marc
3,Mozambique,Ilha Grande
3,Momboza or Zanzibar,"Pernambuco, port unspecified"
3,Mano,"Barbados, port unspecified"
3,Malembo,"Grenada, port unspecified"
3,Malembo,Essequibo
3,Malembo,Berbice
3,Luanda,"Spanish Caribbean, unspecified"
3,Luanda,Paranagua
3,Luanda,Mangaratiba
3,Luanda,Baia de Sepetiba
3,Loango,York River
3,Loango,St. Eustatius
3,Loango,Rio de Janeiro
3,Loango,Port-de-Paix
3,Little Popo,"Saint-Domingue, port unspecified"
3,"Lagos, Onim",Rio de Janeiro
3,"Lagos, Onim",Cap Francais
3,Kilwa,Montevideo
3,Keta,"Martinique, port unspecified"
3,Keta,Freetown
3,Jacquin,Saint John (Antigua)
3,Jacquin,Kingston
3,Inhambane,NA
3,Iles de Los,Saint John (Antigua)
3,Iles de Los,Basse-Terre
3,Grand Sestos,Freetown
3,Grand Bassa,Freetown
3,"Gold Coast, port unspecified","Virginia, port unspecified"
3,"Gold Coast, port unspecified",Upper James River
3,"Gold Coast, port unspecified",Savannah
3,"Gold Coast, port unspecified","Pernambuco, port unspecified"
3,"Gold Coast, port unspecified",Paramaribo
3,"Gold Coast, port unspecified",Montevideo
3,"Gold Coast, port unspecified","Dutch Guianas, colony unspecified"
3,"Gold Coast, port unspecified",Black River
3,"Gold Coast, Fr. definition","Saint-Domingue, port unspecified"
3,"Gold Coast, Fr. definition",Cartagena
3,Gambia,South Potomac
3,Gambia,North Potomac
3,Gambia,"French Caribbean, colony unspecified"
3,Gambia,Freetown
3,Gambia,Cadiz
3,Gambia,Buenos Aires
3,Gambia,Boston
3,Gambia,Annapolis
3,Gallinhas,Trinidad de Cuba
3,Gallinhas,Santiago de Cuba
3,Gallinhas,"Martinique, port unspecified"
3,Gallinhas,"Bahia, port unspecified"
3,Gabon,"Tortola, port unspecified"
3,Gabon,Saint John (Antigua)
3,Gabon,Rio de Janeiro
3,Gabon,Montego Bay
3,Gabon,Kingston
3,Gabon,Demerara
3,Gabon,Campos
3,Gabon,Cabo Frio
3,Epe,Saint-Marc
3,Epe,Cayes (Les)
3,Elmina,West Indies (colony unspecified)
3,Elmina,"Barbados, port unspecified"
3,Danish Gold Coast,St. Thomas
3,Costa da Mina,Maranhao
3,Congo River,Trinidad de Cuba
3,Congo River,Puerto Padre
3,Congo River,"Dominica, port unspecified"
3,Congo River,Cap Francais
3,Christiansborg,Havana
3,Cap Lopez,"Grenada, port unspecified"
3,Cap Lopez,Freetown
3,Cap Lopez,Cayes (Les)
3,Cape Verde Islands,Lisbon
3,Cape Verde Islands,"Hispaniola, unspecified"
3,Cape Verde Islands,Havana
3,Cape Verde Islands,"Americas, port unspecified"
3,Cape Mount (Cape Grand Mount),"Tortola, port unspecified"
3,Cape Mount (Cape Grand Mount),Saint-Marc
3,Cape Mount (Cape Grand Mount),Havana
3,Cape Mount (Cape Grand Mount),"Bahamas, port unspecified"
3,Cape Lahou,"Barbados, port unspecified"
3,Cape Coast Castle,York River
3,Cape Coast Castle,"Virginia, port unspecified"
3,Cape Coast Castle,"Tortola, port unspecified"
3,Cape Coast Castle,Suriname
3,Cape Coast Castle,St. Croix
3,Cameroons,"Tortola, port unspecified"
3,Cameroons,"St. Lucia, port unspecified"
3,Cameroons,Basse-Terre
3,Calabar,"French Caribbean, colony unspecified"
3,Calabar,"Antigua, port unspecified"
3,Cacheu,Venezuela
3,Cacheu,"Americas, region unspecified"
3,Cabinda,"St. Kitts, port unspecified"
3,Cabinda,Saint-Marc
3,Cabinda,Maranhao
3,Cabinda,Liberia
3,Bonny,St. Croix
3,Bonny,Rappahannock
3,Bonny,Newcastle (Nevis)
3,Bonny,La Guaira
3,Bonny,Cayes (Les)
3,Bissau,Santiago de Cuba
3,Bissagos,NA
3,Bimbia,"Pernambuco, port unspecified"
3,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Saint-Marc
3,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Leogane
3,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Demerara
3,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Cartagena
3,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Basse-Terre
3,"Bight of Benin, port unspecified",St. Thomas
3,"Bight of Benin, port unspecified","Dominica, port unspecified"
3,"Bight of Benin, port unspecified","Danish West Indies, colony unspecified"
3,"Bight of Benin, port unspecified",Charleston
3,"Bight of Benin, port unspecified",Cayes (Les)
3,Benin,"St. Vincent, port unspecified"
3,Benin,"St. Kitts, port unspecified"
3,Benguela,Santos
3,Benguela,"Rio de Janeiro, Sao Paulo, Santa Catarina"
3,Benguela,Luanda
3,Benguela,Ilha Grande
3,Benguela,"Americas, region unspecified"
3,Bassa,Charleston
3,Bassa,"British Caribbean, colony unspecified"
3,Bance Island (Ben's Island),Saint John (Antigua)
3,Bance Island (Ben's Island),Demerara
3,Bance Island (Ben's Island),"Americas, port unspecified"
3,Banana Islands,"St. Kitts, port unspecified"
3,Badagry/Apa,"Pernambuco, port unspecified"
3,Ardra,Port-au-Prince
3,Ardra,Essequibo
3,Apammin,Cap Francais
3,Anomabu,Rappahannock
3,Anomabu,Portobelo
3,Anomabu,Newcastle (Nevis)
3,Anomabu,"Montserrat, port unspecified"
3,Ambriz,"Barbados, port unspecified"
3,"Africa., port unspecified","Tobago, port unspecified"
3,"Africa., port unspecified",St. Maarten
3,"Africa., port unspecified",St. Helena
3,"Africa., port unspecified",Santa Marta
3,"Africa., port unspecified",San Juan de los Remedios
3,"Africa., port unspecified","North Carolina, port unspecified"
3,"Africa., port unspecified","Guadeloupe, port unspecified"
3,"Africa., port unspecified",Eastern New Jersey
3,"Africa., port unspecified",Canasi
3,"Africa., port unspecified",Cadiz
3,"Africa., port unspecified",Cabo Frio
3,"Africa., port unspecified",British Leewards
3,Accra,Suriname
3,Accra,"Martinique, port unspecified"
3,Accra,Havana
3,Accra,Curacao
3,Accra,"Barbados, port unspecified"
3,Accra,"Bahia, port unspecified"
2,Windward + Ivory + Gold + Benin,"St. Kitts, port unspecified"
2,Windward + Ivory + Gold + Benin,Saint John (Antigua)
2,Windward + Ivory + Gold + Benin,Kingston
2,Windward + Ivory + Gold + Benin,"Danish West Indies, colony unspecified"
2,"Windward Coast, port unspecified",Zion Hill
2,"Windward Coast, port unspecified",St. Croix
2,"Windward Coast, port unspecified","Puerto Rico, port unspecified"
2,"Windward Coast, port unspecified",Port-au-Prince
2,"Windward Coast, port unspecified","North Carolina, port unspecified"
2,"Windward Coast, port unspecified",Essequibo
2,"Windward Coast, port unspecified",Cap Francais
2,"Windward Coast, port unspecified","Americas, port unspecified"
2,Windward Coast (Nunez - Assini),Suriname
2,Windward Coast (Nunez - Assini),"Bahamas, port unspecified"
2,Whydah,Veracruz
2,Whydah,Santos
2,Whydah,Port-de-Paix
2,Whydah,"Montserrat, port unspecified"
2,Whydah,Montego Bay
2,Whydah,Maranhao
2,Whydah,Louisiana
2,Whydah,Essequibo
2,Whydah,Bahia Honda
2,Whydah,"Antigua, port unspecified"
2,Whydah,"Americas, region unspecified"
2,West of Cape Apolonia,"Pernambuco, port unspecified"
2,West of Cape Apolonia,"Bahia, port unspecified"
2,"West Central Africa and St. Helena, port unspecified",Zion Hill
2,"West Central Africa and St. Helena, port unspecified",Santiago de Cuba
2,"West Central Africa and St. Helena, port unspecified",Rio de Janeiro province
2,"West Central Africa and St. Helena, port unspecified",Patuxent
2,"West Central Africa and St. Helena, port unspecified","Maryland, port unspecified"
2,"West Central Africa and St. Helena, port unspecified",Marica
2,"West Central Africa and St. Helena, port unspecified",Maranhao
2,"West Central Africa and St. Helena, port unspecified",Macae
2,"West Central Africa and St. Helena, port unspecified",La Guaira
2,"West Central Africa and St. Helena, port unspecified",Jeremie
2,"West Central Africa and St. Helena, port unspecified",Ilha Grande
2,"West Central Africa and St. Helena, port unspecified",Freetown
2,"West Central Africa and St. Helena, port unspecified",Cape of Good Hope
2,"West Central Africa and St. Helena, port unspecified",Cadiz
2,"Southeast Africa and Indian Ocean islands, port unspecified",Rio de Janeiro
2,"Southeast Africa and Indian Ocean islands, port unspecified","Americas, port unspecified"
2,"Sierra Leone, port unspecified",Cartagena
2,Sierra Leone estuary,Zion Hill
2,Sierra Leone estuary,Upper James River
2,Sierra Leone estuary,"Trinidad, port unspecified"
2,Sierra Leone estuary,St. Augustine
2,Sierra Leone estuary,Savanna la Mar
2,Sierra Leone estuary,Leogane
2,Sierra Leone estuary,Freetown
2,Sierra Leone estuary,"Bahamas, port unspecified"
2,Sierra Leone estuary,"Antigua, port unspecified"
2,Sherbro,"Puerto Rico, port unspecified"
2,Sherbro,Newcastle (Nevis)
2,Sherbro,"Martinique, port unspecified"
2,Sherbro,"Jamaica, port unspecified"
2,Sherbro,Charleston
2,"Senegambia and offshore Atlantic, port unspecified",Suriname
2,"Senegambia and offshore Atlantic, port unspecified",Rappahannock
2,"Senegambia and offshore Atlantic, port unspecified","Hispaniola, unspecified"
2,"Senegambia and offshore Atlantic, port unspecified",Essequibo
2,"Senegambia and offshore Atlantic, port unspecified","Barbados, port unspecified"
