Count,Source,Destination
37,Bonny,Saint John (Antigua)
36,Benguela,Rio de Janeiro province
36,"Africa., port unspecified",St. Croix
35,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, port unspecified"
35,"Africa., port unspecified","Maryland, port unspecified"
34,"Senegambia and offshore Atlantic, port unspecified",Cartagena
34,New Calabar,"Jamaica, port unspecified"
34,New Calabar,"Barbados, port unspecified"
34,Mozambique,NA
34,Mozambique,"Bahia, port unspecified"
34,Congo River,Kingston
34,Cacheu,Para
34,Bonny,Havana
34,Benguela,"Pernambuco, port unspecified"
33,"Windward Coast, port unspecified",Saint John (Antigua)
33,"Windward Coast, port unspecified",NA
33,Rio Pongo,Charleston
33,Malembo,Rio de Janeiro
33,"Gold Coast, port unspecified","Grenada, port unspecified"
33,Calabar,Freetown
32,"Windward Coast, port unspecified",Charleston
32,"West Central Africa and St. Helena, port unspecified",Cayes (Les)
32,Bonny,"St. Vincent, port unspecified"
32,Ardra,"Barbados, port unspecified"
32,"Africa., port unspecified","Puerto Rico, port unspecified"
32,"Africa., port unspecified",Curacao
31,"Windward Coast, port unspecified","Jamaica, port unspecified"
31,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified"
31,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified"
31,Elmina,"Bahia, port unspecified"
31,Badagry/Apa,"Bahia, port unspecified"
30,Whydah,Freetown
30,Sierra Leone estuary,"Grenada, port unspecified"
30,"Senegambia and offshore Atlantic, port unspecified",New Spain
30,Malembo,"Pernambuco, port unspecified"
30,Luanda,New Spain
30,Iles de Los,Charleston
30,Costa da Mina,NA
30,Cabinda,"Pernambuco, port unspecified"
30,Anomabu,"Grenada, port unspecified"
30,"Africa., port unspecified","St. Vincent, port unspecified"
29,Whydah,Suriname
29,Gambia,Saint John (Antigua)
29,Calabar,Saint John (Antigua)
29,Anomabu,Cap Francais
29,"Africa., port unspecified",Demerara
28,"Gold Coast, port unspecified",Saint John (Antigua)
28,Gambia,Kingston
27,New Calabar,Kingston
27,Madagascar,"Barbados, port unspecified"
27,Iles de Los,NA
27,Goree,Cap Francais
27,Gambia,"Dominica, port unspecified"
27,Gallinhas,Havana
27,Elmina,Curacao
27,Cape Coast Castle,Demerara
27,"Africa., port unspecified","Trinidad, port unspecified"
26,Whydah,"Pernambuco, port unspecified"
26,"West Central Africa and St. Helena, port unspecified",St. Thomas
26,"West Central Africa and St. Helena, port unspecified","Spanish Americas, port unspecified"
26,"West Central Africa and St. Helena, port unspecified",Saint John (Antigua)
26,Sierra Leone estuary,Kingston
26,Sierra Leone estuary,"Jamaica, port unspecified"
26,Porto Novo,Port-au-Prince
26,Goree,NA
26,Benin,Kingston
26,"Africa., port unspecified",Savannah
26,"Africa., port unspecified","Pernambuco, port unspecified"
25,"Gold Coast, port unspecified","Danish West Indies, colony unspecified"
25,"Gold Coast, Fr. definition",NA
25,Gambia,"Grenada, port unspecified"
25,Gallinhas,Freetown
25,Christiansborg,"Danish West Indies, colony unspecified"
25,Cape Coast Castle,Saint John (Antigua)
25,"Africa., port unspecified",Bahia Honda
24,Whydah,Port-au-Prince
24,"West Central Africa and St. Helena, port unspecified",Havana
24,Sao Tome,Cartagena
24,Mozambique,"Pernambuco, port unspecified"
24,Loango,Curacao
24,Gambia,"St. Kitts, port unspecified"
24,Cacheu,NA
24,Bassa,"Grenada, port unspecified"
24,Ambriz,"Bahia, port unspecified"
23,"Windward Coast, port unspecified","Grenada, port unspecified"
23,"Windward Coast, port unspecified","Dominica, port unspecified"
23,Saint-Louis,Charleston
23,Loango,Leogane
23,Gambia,"Virginia, port unspecified"
23,Epe,"Bahia, port unspecified"
23,Calabar,Cayes (Les)
23,"Africa., port unspecified",Maranhao
23,"Africa., port unspecified",Cayenne
23,"Africa., port unspecified",Cabanas
22,Whydah,Curacao
22,"West Central Africa and St. Helena, port unspecified",Demerara
22,"West Central Africa and St. Helena, port unspecified",Basse-Terre
22,"West Central Africa and St. Helena, port unspecified","Bahia, port unspecified"
22,NA,St. Eustatius
22,Mozambique,Cape of Good Hope
22,Loango,"Martinique, port unspecified"
22,"Gold Coast, port unspecified","Americas, port unspecified"
22,Costa da Mina,Rio de Janeiro
22,Congo North,St. Eustatius
22,Cape Verde Islands,Maranhao
22,Bonny,Charleston
22,"Africa., port unspecified",New Spain
21,Whydah,Saint-Marc
21,"Senegambia and offshore Atlantic, port unspecified",NA
21,Sao Tome,"Pernambuco, port unspecified"
21,"Gold Coast, port unspecified",Havana
21,Gallinhas,NA
21,Calabar,Charleston
21,Cabinda,"Martinique, port unspecified"
21,Cabinda,"Jamaica, port unspecified"
21,Cabinda,Campos
21,Benguela,Macae
21,Anomabu,Saint John (Antigua)
21,"Africa., port unspecified",Port-au-Prince
20,"Senegambia and offshore Atlantic, port unspecified",Cap Francais
20,Porto Novo,Cap Francais
20,New Calabar,"Grenada, port unspecified"
20,Malembo,Port-au-Prince
20,Luanda,"Rio de Janeiro, Sao Paulo, Santa Catarina"
20,Luanda,Campos
20,Elmina,NA
20,Christiansborg,St. Croix
20,Cape Coast Castle,"St. Kitts, port unspecified"
20,Cameroons,"Grenada, port unspecified"
20,"Bight of Benin, port unspecified",Freetown
20,Anomabu,Charleston
20,"Africa., port unspecified",Rappahannock
20,"Africa., port unspecified","British Caribbean, colony unspecified"
19,"Windward Coast, port unspecified","St. Kitts, port unspecified"
19,Rio Pongo,Freetown
19,Mozambique,Havana
19,Malembo,Kingston
19,Cameroons,"Dominica, port unspecified"
19,Calabar,"Pernambuco, port unspecified"
19,Calabar,Basse-Terre
19,Cabinda,Buenos Aires
19,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Jamaica, port unspecified"
19,"Bight of Benin, port unspecified",NA
19,"Bight of Benin, port unspecified","Bahia, port unspecified"
19,Benin,NA
19,"Africa., port unspecified",Sagua
18,"West Central Africa and St. Helena, port unspecified",St. Eustatius
18,Luanda,Ponta Negro
18,Iles de Los,Cap Francais
18,"Gold Coast, port unspecified","Martinique, port unspecified"
18,"Gold Coast, port unspecified",Curacao
18,Gallinhas,"Cuba, port unspecified"
18,Congo River,"Bahia, port unspecified"
18,Cape Verde Islands,San Domingo (a) Santo Domingo
18,Cape Mount (Cape Grand Mount),NA
18,Cape Coast Castle,"St. Vincent, port unspecified"
18,Calabar,Suriname
18,Calabar,"Martinique, port unspecified"
18,Ardra,"Pernambuco, port unspecified"
18,"Africa., port unspecified",Isla de Pinas
18,"Africa., port unspecified","French Caribbean, colony unspecified"
18,"Africa., port unspecified","Danish West Indies, colony unspecified"
18,"Africa., port unspecified",Cardenas
17,Quilimane,Campos
17,Luanda,Ilha Grande
17,Jacquin,"Bahia, port unspecified"
17,Iles de Los,"Grenada, port unspecified"
17,"Gold Coast, port unspecified","St. Vincent, port unspecified"
17,Gambia,Savannah
17,Gabon,NA
17,Cape Coast Castle,Havana
17,Calabar,"St. Vincent, port unspecified"
17,Calabar,Cap Francais
17,Cabinda,Charleston
17,Bonny,Basse-Terre
17,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",NA
17,Anomabu,"Americas, port unspecified"
17,"Africa., port unspecified",Upper James River
17,"Africa., port unspecified",Saint-Marc
17,"Africa., port unspecified",Leogane
17,"Africa., port unspecified",Freetown
16,Whydah,Basse-Terre
16,"West Central Africa and St. Helena, port unspecified",St. Croix
16,"West Central Africa and St. Helena, port unspecified",Saint-Marc
16,"Senegambia and offshore Atlantic, port unspecified","Spanish Circum-Caribbean,unspecified"
16,Sao Tome,"Cuba, port unspecified"
16,Saint-Louis,"Barbados, port unspecified"
16,Malembo,Curacao
16,Luanda,La Guaira
16,Luanda,Havana
16,Loango,Havana
16,Loango,Cayes (Les)
16,Inhambane,Rio de Janeiro
16,Danish Gold Coast,"Danish West Indies, colony unspecified"
16,Congo River,"Cuba, port unspecified"
16,Cape Mount (Cape Grand Mount),Kingston
16,Cape Mount (Cape Grand Mount),"Dominica, port unspecified"
16,Cape Mount (Cape Grand Mount),Charleston
16,Cameroons,"Barbados, port unspecified"
16,Ardra,Suriname
15,"West Central Africa and St. Helena, port unspecified","Dominica, port unspecified"
15,Saint-Louis,"Grenada, port unspecified"
15,Mozambique,"Cuba, port unspecified"
15,Madagascar,Rio de Janeiro
15,Luanda,"Hispaniola, unspecified"
15,Luanda,"Americas, region unspecified"
15,Congo River,Havana
15,Congo North,Charleston
15,Cacheu,"Bahia, port unspecified"
15,Cabinda,Cayes (Les)
15,Bissau,NA
15,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Grenada, port unspecified"
15,Benin,"Jamaica, port unspecified"
15,Anomabu,"St. Kitts, port unspecified"
15,"Africa., port unspecified",Puerto Padre
15,"Africa., port unspecified",Mariel
15,"Africa., port unspecified","Bahamas, port unspecified"
14,Windward + Ivory + Gold + Benin,"Barbados, port unspecified"
14,"Windward Coast, port unspecified",Basse-Terre
14,Whydah,Saint John (Antigua)
14,"West Central Africa and St. Helena, port unspecified",Suriname
14,"West Central Africa and St. Helena, port unspecified","Spanish Circum-Caribbean,unspecified"
14,"Sierra Leone, port unspecified",Freetown
14,Sao Tome or Princes Island,"Pernambuco, port unspecified"
14,New Calabar,Suriname
14,New Calabar,Montego Bay
14,NA,"Americas, port unspecified"
14,Little Popo,Cap Francais
14,"Lagos, Onim","Cuba, port unspecified"
14,Jacquin,"Pernambuco, port unspecified"
14,Goree,Charleston
14,"Gold Coast, port unspecified","St. Kitts, port unspecified"
14,Gambia,Rappahannock
14,Epe,Cap Francais
14,Congo River,NA
14,Bonny,York River
14,Bonny,"Cuba, port unspecified"
14,"Bight of Benin, port unspecified",Cap Francais
14,Anomabu,"Martinique, port unspecified"
14,Ambriz,Kingston
14,"Africa., port unspecified",Boston
13,Windward Coast (Nunez - Assini),"Dominica, port unspecified"
13,Windward Coast (Nunez - Assini),Demerara
13,"West Central Africa and St. Helena, port unspecified","Saint-Domingue, port unspecified"
13,"West Central Africa and St. Helena, port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina"
13,Sierra Leone estuary,"St. Vincent, port unspecified"
13,Sierra Leone estuary,"St. Kitts, port unspecified"
13,"Senegambia and offshore Atlantic, port unspecified",Port-au-Prince
13,"Senegambia and offshore Atlantic, port unspecified",Havana
13,Sao Tome,Rio de Janeiro
13,Saint-Louis,Port-au-Prince
13,Saint-Louis,"Martinique, port unspecified"
13,Saint-Louis,Basse-Terre
13,Quilimane,Sao Sebastiao
13,New Calabar,"St. Vincent, port unspecified"
13,New Calabar,"St. Kitts, port unspecified"
13,Malembo,Cayes (Les)
13,Lourenco Marques,Rio de Janeiro
13,Loango,NA
13,Loango,Charleston
13,Goree,"Martinique, port unspecified"
13,"Gold Coast, Fr. definition",Saint-Marc
13,Gambia,"Americas, port unspecified"
13,Congo River,Demerara
13,Congo North,Essequibo
13,Congo North,"Americas, port unspecified"
13,Cabinda,Suriname
13,Cabinda,Havana
13,"Bight of Benin, port unspecified","Martinique, port unspecified"
13,Benguela,Campos
13,Badagry/Apa,Cap Francais
13,Ardra,"Jamaica, port unspecified"
13,Ambriz,St. Helena
13,"Africa., port unspecified",St. Eustatius
13,"Africa., port unspecified",San Domingo (a) Santo Domingo
13,"Africa., port unspecified",Rio de Janeiro province
12,"Windward Coast, port unspecified",Suriname
12,Windward Coast (Nunez - Assini),"Barbados, port unspecified"
12,"West Central Africa and St. Helena, port unspecified","Americas, port unspecified"
12,Sierra Leone estuary,Saint John (Antigua)
12,Sierra Leone estuary,Demerara
12,Sao Tome,Veracruz
12,Saint-Louis,"Dominica, port unspecified"
12,Saint-Louis,Cayenne
12,Loango,Suriname
12,Jacquin,"Martinique, port unspecified"
12,Iles de Los,Savannah
12,Gabon,Cap Francais
12,Epe,"Martinique, port unspecified"
12,Elmina,Berbice
12,Cape Verde Islands,"Puerto Rico, port unspecified"
12,Cape Coast Castle,"Grenada, port unspecified"
12,Cape Coast Castle,Charleston
12,Cape Coast Castle,"Americas, port unspecified"
12,Cameroons River,Freetown
12,Calabar,Port-au-Prince
12,Calabar,"British Caribbean, colony unspecified"
12,Bonny,"Americas, port unspecified"
12,Badagry/Apa,Freetown
12,"Africa., port unspecified",Veracruz
12,"Africa., port unspecified",Port Royal
12,"Africa., port unspecified","Florida, port unspecified"
11,"Windward Coast, port unspecified","Martinique, port unspecified"
11,Whydah,"Saint-Domingue, port unspecified"
11,Whydah,Rio de Janeiro
11,Whydah,"Cuba, port unspecified"
11,Whydah,Cayes (Les)
11,Whydah,Cayenne
11,"West Central Africa and St. Helena, port unspecified",York River
11,Sierra Leone estuary,Cap Francais
11,Sherbro,Freetown
11,Saint-Louis,"St. Kitts, port unspecified"
11,Saint-Louis,Saint John (Antigua)
11,Rio Pongo,Havana
11,New Calabar,Newcastle (Nevis)
11,New Calabar,NA
11,Mozambique,Buenos Aires
11,Malembo,"Barbados, port unspecified"
11,Luanda,Sao Sebastiao
11,Luanda,Macae
11,Loango,Saint-Marc
11,Loango,"Jamaica, port unspecified"
11,"Gold Coast, port unspecified",Newcastle (Nevis)
11,Gambia,"Montserrat, port unspecified"
11,Cape Mount (Cape Grand Mount),"Jamaica, port unspecified"
11,Cape Mount (Cape Grand Mount),"Barbados, port unspecified"
11,Cape Coast Castle,"Martinique, port unspecified"
11,Calabar,Newcastle (Nevis)
11,Cabinda,Ilha Grande
11,Bonny,"Tortola, port unspecified"
11,Bonny,St. Thomas
11,"Bight of Benin, port unspecified",Port-au-Prince
11,Bassa,Kingston
11,Badagry/Apa,Saint-Marc
11,Ardra,Cartagena
11,Ambriz,Campos
11,"Africa., port unspecified","Tortola, port unspecified"
10,"Windward Coast, port unspecified","St. Vincent, port unspecified"
10,Windward Coast (Nunez - Assini),Saint John (Antigua)
10,"West Central Africa and St. Helena, port unspecified",Montevideo
10,Sherbro,NA
10,Saint-Louis,"Jamaica, port unspecified"
10,Quilimane,"Bahia, port unspecified"
10,Princes Island,"Cuba, port unspecified"
10,Porto Novo,Saint-Marc
10,Malembo,Leogane
10,Madagascar,NA
10,Luanda,Rio de Janeiro province
10,Loango,"Barbados, port unspecified"
10,Little Popo,"Martinique, port unspecified"
10,"Lagos, Onim",NA
10,"Lagos, Onim",Havana
10,Iles de Los,"Jamaica, port unspecified"
10,"Gold Coast, port unspecified",York River
10,"Gold Coast, Fr. definition",Cayes (Les)
10,Gold Coast + Bight of Benin + Bight of Biafra,"Pernambuco, port unspecified"
10,Gambia,"Martinique, port unspecified"
10,Congo River,St. Helena
10,Cape Mount (Cape Grand Mount),"Grenada, port unspecified"
10,Cape Lahou,"Bahia, port unspecified"
10,Cameroons,"St. Kitts, port unspecified"
10,Calabar,"Virginia, port unspecified"
10,Calabar,"Trinidad, port unspecified"
10,Cacheu,Cartagena
10,Cabinda,Port-au-Prince
10,Cabinda,NA
10,Cabinda,Kingston
10,Bonny,"Trinidad, port unspecified"
10,Bonny,Port-au-Prince
10,Bonny,Demerara
10,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Dominica, port unspecified"
10,Benguela,Maranhao
10,Bassa,Saint John (Antigua)
10,Anomabu,"St. Vincent, port unspecified"
10,Anomabu,Montego Bay
10,"Africa., port unspecified",Zion Hill
10,"Africa., port unspecified",Montevideo
9,Windward Coast (Nunez - Assini),Kingston
9,Whydah,Newcastle (Nevis)
9,"West Central Africa and St. Helena, port unspecified",Margarita
9,"West Central Africa and St. Helena, port unspecified",Curacao
9,"West Central Africa and St. Helena, port unspecified",Cayenne
9,"Southeast Africa and Indian Ocean islands, port unspecified",Havana
9,Sierra Leone estuary,Port-au-Prince
9,Sierra Leone estuary,Havana
9,Sierra Leone estuary,"Americas, port unspecified"
9,Sherbro,"Barbados, port unspecified"
9,Sao Tome,"Hispaniola, unspecified"
9,Rio Pongo,NA
9,Rio Pongo,Demerara
9,Quilimane,Rio de Janeiro province
9,Popo,Freetown
9,Luanda,Taipu
9,Loango,Buenos Aires
9,Iles de Los,"St. Kitts, port unspecified"
9,Iles de Los,"Dominica, port unspecified"
9,"Gold Coast, port unspecified",Port Royal
9,"Gold Coast, Fr. definition","Martinique, port unspecified"
9,Gold Coast east of Kormantine,"Pernambuco, port unspecified"
9,Gambia,York River
9,Gambia,"Maryland, port unspecified"
9,Gambia,"British Caribbean, colony unspecified"
9,Elmina,Demerara
9,Costa da Mina,"Americas, region unspecified"
9,Christiansborg,NA
9,Cape Mount (Cape Grand Mount),Demerara
9,Cape Coast Castle,"Rhode Island, port unspecified"
9,Calabar,Montego Bay
9,Cabinda,Rio de Janeiro province
9,Cabinda,Freetown
9,Cabinda,Cabo Frio
9,Bonny,Santiago de Cuba
9,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","St. Kitts, port unspecified"
9,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Freetown
9,Bassa,"Barbados, port unspecified"
9,Anomabu,Leogane
9,Ambriz,Havana
9,"Africa., port unspecified",Montego Bay
9,"Africa., port unspecified",Macae
9,Accra,NA
8,Windward + Ivory + Gold + Benin,St. Eustatius
8,Windward + Ivory + Gold + Benin,Essequibo
8,"Windward Coast, port unspecified","British Caribbean, colony unspecified"
8,"West Central Africa and St. Helena, port unspecified","Trinidad, port unspecified"
8,Sierra Leone estuary,"Dominica, port unspecified"
8,Saint-Louis,Leogane
8,Quilimane,"Pernambuco, port unspecified"
8,Princes Island,Havana
8,Popo,Kingston
8,New Calabar,Havana
8,NA,St. Thomas
8,NA,Havana
8,Malembo,"Martinique, port unspecified"
8,Malembo,"Jamaica, port unspecified"
8,Madagascar,New York
8,"Lagos, Onim",Kingston
8,"Lagos, Onim",Demerara
8,Kormantine,Suriname
8,Jacquin,Suriname
8,Iles de Los,Port-au-Prince
8,Goree,"Saint-Domingue, port unspecified"
8,Goree,Port-au-Prince
8,"Gold Coast, port unspecified",Cap Francais
8,"Gold Coast, port unspecified","British Caribbean, colony unspecified"
8,Gambia,Upper James River
8,Gambia,Demerara
8,Gambia,Cap Francais
8,Gabon,"Pernambuco, port unspecified"
8,Gabon,"Barbados, port unspecified"
8,Costa da Mina,Paraiba
8,Congo River,Suriname
8,Cape Mount (Cape Grand Mount),Saint John (Antigua)
8,Cape Lahou,"Americas, port unspecified"
8,Cameroons,NA
8,Calabar,Rio de Janeiro
8,Calabar,"Americas, port unspecified"
8,Cabinda,Leogane
8,Bonny,Upper James River
8,Bissau,"Pernambuco, port unspecified"
8,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","St. Vincent, port unspecified"
8,"Bight of Benin, port unspecified",Curacao
8,Benin,"Martinique, port unspecified"
8,Benin,"Barbados, port unspecified"
8,Benguela,St. Helena
8,Benguela,Sao Sebastiao
8,Bassa,"St. Kitts, port unspecified"
8,Bassa,NA
8,Bance Island (Ben's Island),"St. Kitts, port unspecified"
8,Bance Island (Ben's Island),NA
8,Bance Island (Ben's Island),Kingston
8,Badagry/Apa,Port-au-Prince
8,Badagry/Apa,"Martinique, port unspecified"
8,Anomabu,Demerara
8,"Africa., port unspecified","St. Lucia, port unspecified"
